,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
216,1,3,female,27.0,0,0,7.925,No,S
217,0,2,male,42.0,1,0,27.0,No,S
218,1,1,female,32.0,0,0,76.2917,Yes,C
219,0,2,male,30.0,0,0,10.5,No,S
220,1,3,male,16.0,0,0,8.05,No,S
221,0,2,male,27.0,0,0,13.0,No,S
222,0,3,male,51.0,0,0,8.05,No,S
223,0,3,male,27.947206162930836,0,0,7.8958,No,S
224,1,1,male,38.0,1,0,90.0,Yes,S
225,0,3,male,22.0,0,0,9.35,No,S
226,1,2,male,19.0,0,0,10.5,No,S
227,0,3,male,20.5,0,0,7.25,No,S
228,0,2,male,18.0,0,0,13.0,No,S
229,0,3,female,7.309547041847048,3,1,25.4667,No,S
230,1,1,female,35.0,1,0,83.475,Yes,S
231,0,3,male,29.0,0,0,7.775,No,S
232,0,2,male,59.0,0,0,13.5,No,S
233,1,3,female,5.0,4,2,31.3875,No,S
234,0,2,male,24.0,0,0,10.5,No,S
235,0,3,female,31.10838452380953,0,0,7.55,No,S
236,0,2,male,44.0,1,0,26.0,No,S
237,1,2,female,8.0,0,2,26.25,No,S
238,0,2,male,19.0,0,0,10.5,No,S
239,0,2,male,33.0,0,0,12.275,No,S
240,0,3,female,20.800154130591643,1,0,14.4542,No,C
241,1,3,female,33.12898535353537,1,0,15.5,No,Q
242,0,2,male,29.0,0,0,10.5,No,S
243,0,3,male,22.0,0,0,7.125,No,S
244,0,3,male,30.0,0,0,7.225,No,C
245,0,1,male,44.0,2,0,90.0,Yes,Q
246,0,3,female,25.0,0,0,7.775,No,S
247,1,2,female,24.0,0,2,14.5,No,S
248,1,1,male,37.0,1,1,52.5542,Yes,S
249,0,2,male,54.0,1,0,26.0,No,S
250,0,3,male,29.78279612980004,0,0,7.25,No,S
251,0,3,female,29.0,1,1,10.4625,Yes,S
252,0,1,male,62.0,0,0,26.55,Yes,S
253,0,3,male,30.0,1,0,16.1,No,S
254,0,3,female,41.0,0,2,20.2125,No,S
255,1,3,female,29.0,0,2,15.2458,No,C
256,1,1,female,34.620285714285735,0,0,79.2,No,C
257,1,1,female,30.0,0,0,86.5,Yes,S
258,1,1,female,35.0,0,0,512.3292,No,C
259,1,2,female,50.0,0,1,26.0,No,S
260,0,3,male,35.29582429902353,0,0,7.75,No,Q
261,1,3,male,3.0,4,2,31.3875,No,S
262,0,1,male,52.0,1,1,79.65,Yes,S
263,0,1,male,40.0,0,0,0.0,Yes,S
264,0,3,female,35.29582429902353,0,0,7.75,No,Q
265,0,2,male,36.0,0,0,10.5,No,S
266,0,3,male,16.0,4,1,39.6875,No,S
267,1,3,male,25.0,1,0,7.775,No,S
268,1,1,female,58.0,0,1,153.4625,Yes,S
269,1,1,female,35.0,0,0,135.6333,Yes,S
270,0,1,male,36.87489821428567,0,0,31.0,No,S
271,1,3,male,25.0,0,0,0.0,No,S
272,1,2,female,41.0,0,1,19.5,No,S
273,0,1,male,37.0,0,1,29.7,Yes,C
274,1,3,female,35.29582429902353,0,0,7.75,No,Q
275,1,1,female,63.0,1,0,77.9583,Yes,S
276,0,3,female,45.0,0,0,7.75,No,S
277,0,2,male,35.05181756856165,0,0,0.0,No,S
278,0,3,male,7.0,4,1,29.125,No,Q
279,1,3,female,35.0,1,1,20.25,No,S
280,0,3,male,65.0,0,0,7.75,No,Q
281,0,3,male,28.0,0,0,7.8542,No,S
282,0,3,male,16.0,0,0,9.5,No,S
283,1,3,male,19.0,0,0,8.05,No,S
284,0,1,male,57.74249226190475,0,0,26.0,Yes,S
285,0,3,male,33.0,0,0,8.6625,No,C
286,1,3,male,30.0,0,0,9.5,No,S
287,0,3,male,22.0,0,0,7.8958,No,S
288,1,2,male,42.0,0,0,13.0,No,S
289,1,3,female,22.0,0,0,7.75,No,Q
290,1,1,female,26.0,0,0,78.85,No,S
291,1,1,female,19.0,1,0,91.0792,Yes,C
292,0,2,male,36.0,0,0,12.875,Yes,C
293,0,3,female,24.0,0,0,8.85,No,S
294,0,3,male,24.0,0,0,7.8958,No,S
295,0,1,male,41.20008847763861,0,0,27.7208,No,C
296,0,3,male,23.5,0,0,7.2292,No,C
297,0,1,female,2.0,1,2,151.55,Yes,S
298,1,1,male,41.574877182539716,0,0,30.5,Yes,S
299,1,1,female,50.0,0,1,247.5208,Yes,C
300,1,3,female,35.29582429902353,0,0,7.75,No,Q
301,1,3,male,23.31368333333333,2,0,23.25,No,Q
302,0,3,male,19.0,0,0,0.0,No,S
303,1,2,female,42.57451553615305,0,0,12.35,Yes,Q
304,0,3,male,30.70572677927052,0,0,8.05,No,S
305,1,1,male,0.92,1,2,151.55,Yes,S
306,1,1,female,28.57888392857143,0,0,110.8833,No,C
307,1,1,female,17.0,1,0,108.9,Yes,C
308,0,2,male,30.0,1,0,24.0,No,C
309,1,1,female,30.0,0,0,56.9292,Yes,C
310,1,1,female,24.0,0,0,83.1583,Yes,C
311,1,1,female,18.0,2,2,262.375,Yes,C
312,0,2,female,26.0,1,1,26.0,No,S
313,0,3,male,28.0,0,0,7.8958,No,S
314,0,2,male,43.0,1,1,26.25,No,S
315,1,3,female,26.0,0,0,7.8542,No,S
316,1,2,female,24.0,1,0,26.0,No,S
317,0,2,male,54.0,0,0,14.0,No,S
318,1,1,female,31.0,0,2,164.8667,Yes,S
319,1,1,female,40.0,1,1,134.5,Yes,C
320,0,3,male,22.0,0,0,7.25,No,S
321,0,3,male,27.0,0,0,7.8958,No,S
322,1,2,female,30.0,0,0,12.35,No,Q
323,1,2,female,22.0,1,1,29.0,No,S
324,0,3,male,10.869866956654464,8,2,69.55,No,S
325,1,1,female,36.0,0,0,135.6333,Yes,C
326,0,3,male,61.0,0,0,6.2375,No,S
327,1,2,female,36.0,0,0,13.0,Yes,S
328,1,3,female,31.0,1,1,20.525,No,S
329,1,1,female,16.0,0,1,57.9792,Yes,C
330,1,3,female,23.31368333333333,2,0,23.25,No,Q
331,0,1,male,45.5,0,0,28.5,Yes,S
332,0,1,male,38.0,0,1,153.4625,Yes,S
333,0,3,male,16.0,2,0,18.0,No,S
334,1,1,female,31.425877936507973,1,0,133.65,No,S
335,0,3,male,27.947206162930836,0,0,7.8958,No,S
336,0,1,male,29.0,1,0,66.6,Yes,S
337,1,1,female,41.0,0,0,134.5,Yes,C
338,1,3,male,45.0,0,0,8.05,No,S
339,0,1,male,45.0,0,0,35.5,Yes,S
340,1,2,male,2.0,1,1,26.0,Yes,S
341,1,1,female,24.0,3,2,263.0,Yes,S
342,0,2,male,28.0,0,0,13.0,No,S
343,0,2,male,25.0,0,0,13.0,No,S
344,0,2,male,36.0,0,0,13.0,No,S
345,1,2,female,24.0,0,0,13.0,Yes,S
346,1,2,female,40.0,0,0,13.0,No,S
347,1,3,female,26.689168488455994,1,0,16.1,No,S
348,1,3,male,3.0,1,1,15.9,No,S
349,0,3,male,42.0,0,0,8.6625,No,S
350,0,3,male,23.0,0,0,9.225,No,S
351,0,1,male,59.96916448412696,0,0,35.0,Yes,S
352,0,3,male,15.0,1,1,7.2292,No,C
353,0,3,male,25.0,1,0,17.8,No,S
354,0,3,male,29.51820514208015,0,0,7.225,No,C
355,0,3,male,28.0,0,0,9.5,No,S
356,1,1,female,22.0,0,1,55.0,Yes,S
357,0,2,female,38.0,0,0,13.0,No,S
358,1,3,female,22.380113238826777,0,0,7.8792,No,Q
359,1,3,female,22.380113238826777,0,0,7.8792,No,Q
360,0,3,male,40.0,1,4,27.9,No,S
361,0,2,male,29.0,1,0,27.7208,No,C
362,0,3,female,45.0,0,1,14.4542,No,C
363,0,3,male,35.0,0,0,7.05,No,S
364,0,3,male,33.12898535353537,1,0,15.5,No,Q
365,0,3,male,30.0,0,0,7.25,No,S
366,1,1,female,60.0,1,0,75.25,Yes,C
367,1,3,female,22.8763068618881,0,0,7.2292,No,C
368,1,3,female,35.29582429902353,0,0,7.75,No,Q
369,1,1,female,24.0,0,0,69.3,Yes,C
370,1,1,male,25.0,1,0,55.4417,Yes,C
371,0,3,male,18.0,1,0,6.4958,No,S
372,0,3,male,19.0,0,0,8.05,No,S
373,0,1,male,22.0,0,0,135.6333,No,C
374,0,3,female,3.0,3,1,21.075,No,S
375,1,1,female,31.94479345238094,1,0,82.1708,No,C
376,1,3,female,22.0,0,0,7.25,No,S
377,0,1,male,27.0,0,2,211.5,Yes,C
378,0,3,male,20.0,0,0,4.0125,No,C
379,0,3,male,19.0,0,0,7.775,No,S
380,1,1,female,42.0,0,0,227.525,No,C
381,1,3,female,1.0,0,2,15.7417,No,C
382,0,3,male,32.0,0,0,7.925,No,S
383,1,1,female,35.0,1,0,52.0,No,S
384,0,3,male,27.947206162930836,0,0,7.8958,No,S
385,0,2,male,18.0,0,0,73.5,No,S
386,0,3,male,1.0,5,2,46.9,No,S
387,1,2,female,36.0,0,0,13.0,No,S
388,0,3,male,19.895581126712127,0,0,7.7292,No,Q
389,1,2,female,17.0,0,0,12.0,No,C
390,1,1,male,36.0,1,2,120.0,Yes,S
391,1,3,male,21.0,0,0,7.7958,No,S
392,0,3,male,28.0,2,0,7.925,No,S
393,1,1,female,23.0,1,0,113.275,Yes,C
394,1,3,female,24.0,0,2,16.7,Yes,S
395,0,3,male,22.0,0,0,7.7958,No,S
396,0,3,female,31.0,0,0,7.8542,No,S
397,0,2,male,46.0,0,0,26.0,No,S
398,0,2,male,23.0,0,0,10.5,No,S
399,1,2,female,28.0,0,0,12.65,No,S
400,1,3,male,39.0,0,0,7.925,No,S
401,0,3,male,26.0,0,0,8.05,No,S
402,0,3,female,21.0,1,0,9.825,No,S
403,0,3,male,28.0,1,0,15.85,No,S
404,0,3,female,20.0,0,0,8.6625,No,S
405,0,2,male,34.0,1,0,21.0,No,S
406,0,3,male,51.0,0,0,7.75,No,S
407,1,2,male,3.0,1,1,18.75,No,S
408,0,3,male,21.0,0,0,7.775,No,S
409,0,3,female,7.309547041847048,3,1,25.4667,No,S
410,0,3,male,27.947206162930836,0,0,7.8958,No,S
411,0,3,male,20.681314880952385,0,0,6.8583,No,Q
412,1,1,female,33.0,1,0,90.0,Yes,Q
413,0,2,male,35.05181756856165,0,0,0.0,No,S
414,1,3,male,44.0,0,0,7.925,No,S
415,0,3,female,30.70572677927052,0,0,8.05,No,S
416,1,2,female,34.0,1,1,32.5,No,S
417,1,2,female,18.0,0,2,13.0,No,S
418,0,2,male,30.0,0,0,13.0,No,S
419,0,3,female,10.0,0,2,24.15,No,S
420,0,3,male,27.947206162930836,0,0,7.8958,No,C
421,0,3,male,21.0,0,0,7.7333,No,Q
422,0,3,male,29.0,0,0,7.875,No,S
423,0,3,female,28.0,1,1,14.4,No,S
424,0,3,male,18.0,1,1,20.2125,No,S
425,0,3,male,29.78279612980004,0,0,7.25,No,S
426,1,2,female,28.0,1,0,26.0,No,S
427,1,2,female,19.0,0,0,26.0,No,S
428,0,3,male,35.29582429902353,0,0,7.75,No,Q
429,1,3,male,32.0,0,0,8.05,Yes,S
430,1,1,male,28.0,0,0,26.55,Yes,S
431,1,3,female,26.689168488455994,1,0,16.1,No,S
432,1,2,female,42.0,1,0,26.0,No,S
433,0,3,male,17.0,0,0,7.125,No,S
434,0,1,male,50.0,1,0,55.9,Yes,S
435,1,1,female,14.0,1,2,120.0,Yes,S
436,0,3,female,21.0,2,2,34.375,No,S
437,1,2,female,24.0,2,3,18.75,No,S
438,0,1,male,64.0,1,4,263.0,Yes,S
439,0,2,male,31.0,0,0,10.5,No,S
440,1,2,female,45.0,1,1,26.25,No,S
441,0,3,male,20.0,0,0,9.5,No,S
442,0,3,male,25.0,1,0,7.775,No,S
443,1,2,female,28.0,0,0,13.0,No,S
444,1,3,male,23.476432389643715,0,0,8.1125,No,S
445,1,1,male,4.0,0,2,81.8583,Yes,S
446,1,2,female,13.0,0,1,19.5,No,S
447,1,1,male,34.0,0,0,26.55,No,S
448,1,3,female,5.0,2,1,19.2583,No,C
449,1,1,male,52.0,0,0,30.5,Yes,S
450,0,2,male,36.0,1,2,27.75,No,S
451,0,3,male,24.10899880952382,1,0,19.9667,No,S
452,0,1,male,30.0,0,0,27.75,Yes,C
453,1,1,male,49.0,1,0,89.1042,Yes,C
454,0,3,male,30.70572677927052,0,0,8.05,No,S
455,1,3,male,29.0,0,0,7.8958,No,C
456,0,1,male,65.0,0,0,26.55,Yes,S
457,1,1,female,44.06001827200576,1,0,51.8625,Yes,S
458,1,2,female,50.0,0,0,10.5,No,S
459,0,3,male,35.29582429902353,0,0,7.75,No,Q
460,1,1,male,48.0,0,0,26.55,Yes,S
461,0,3,male,34.0,0,0,8.05,No,S
462,0,1,male,47.0,0,0,38.5,Yes,S
463,0,2,male,48.0,0,0,13.0,No,S
464,0,3,male,30.70572677927052,0,0,8.05,No,S
465,0,3,male,38.0,0,0,7.05,No,S
466,0,2,male,35.05181756856165,0,0,0.0,No,S
467,0,1,male,56.0,0,0,26.55,No,S
468,0,3,male,19.895581126712127,0,0,7.725,No,Q
469,1,3,female,0.75,2,1,19.2583,No,C
470,0,3,male,29.78279612980004,0,0,7.25,No,S
471,0,3,male,38.0,0,0,8.6625,No,S
472,1,2,female,33.0,1,2,27.75,No,S
473,1,2,female,23.0,0,0,13.7917,Yes,C
474,0,3,female,22.0,0,0,9.8375,No,S
475,0,1,male,44.65953055555558,0,0,52.0,Yes,S
476,0,2,male,34.0,1,0,21.0,No,S
477,0,3,male,29.0,1,0,7.0458,No,S
478,0,3,male,22.0,0,0,7.5208,No,S
479,1,3,female,2.0,0,1,12.2875,No,S
480,0,3,male,9.0,5,2,46.9,No,S
481,0,2,male,35.05181756856165,0,0,0.0,No,S
482,0,3,male,50.0,0,0,8.05,No,S
483,1,3,female,63.0,0,0,9.5875,No,S
484,1,1,male,25.0,1,0,91.0792,Yes,C
485,0,3,female,7.309547041847048,3,1,25.4667,No,S
486,1,1,female,35.0,1,0,90.0,Yes,S
487,0,1,male,58.0,0,0,29.7,Yes,C
488,0,3,male,30.0,0,0,8.05,No,S
489,1,3,male,9.0,1,1,15.9,No,S
490,0,3,male,24.10899880952382,1,0,19.9667,No,S
491,0,3,male,21.0,0,0,7.25,No,S
492,0,1,male,55.0,0,0,30.5,Yes,S
493,0,1,male,71.0,0,0,49.5042,No,C
494,0,3,male,21.0,0,0,8.05,No,S
495,0,3,male,18.19479484126986,0,0,14.4583,No,C
496,1,1,female,54.0,1,0,78.2667,Yes,C
497,0,3,male,25.75547529761905,0,0,15.1,No,S
498,0,1,female,25.0,1,2,151.55,Yes,S
499,0,3,male,24.0,0,0,7.7958,No,S
500,0,3,male,17.0,0,0,8.6625,No,S
501,0,3,female,21.0,0,0,7.75,No,Q
502,0,3,female,26.820732810245318,0,0,7.6292,No,Q
503,0,3,female,37.0,0,0,9.5875,No,S
504,1,1,female,16.0,0,0,86.5,Yes,S
505,0,1,male,18.0,1,0,108.9,Yes,C
506,1,2,female,33.0,0,2,26.0,No,S
507,1,1,male,49.8994093015281,0,0,26.55,No,S
508,0,3,male,28.0,0,0,22.525,No,S
509,1,3,male,26.0,0,0,56.4958,No,S
510,1,3,male,29.0,0,0,7.75,No,Q
511,0,3,male,30.70572677927052,0,0,8.05,No,S
512,1,1,male,36.0,0,0,26.2875,Yes,S
513,1,1,female,54.0,1,0,59.4,No,C
514,0,3,male,24.0,0,0,7.4958,No,S
515,0,1,male,47.0,0,0,34.0208,Yes,S
516,1,2,female,34.0,0,0,10.5,Yes,S
517,0,3,male,34.17374861111111,0,0,24.15,No,Q
518,1,2,female,36.0,1,0,26.0,No,S
519,0,3,male,32.0,0,0,7.8958,No,S
520,1,1,female,30.0,0,0,93.5,Yes,S
521,0,3,male,22.0,0,0,7.8958,No,S
522,0,3,male,29.51820514208015,0,0,7.225,No,C
523,1,1,female,44.0,0,1,57.9792,Yes,C
524,0,3,male,22.8763068618881,0,0,7.2292,No,C
525,0,3,male,40.5,0,0,7.75,No,Q
526,1,2,female,50.0,0,0,10.5,No,S
527,0,1,male,38.51549999999996,0,0,221.7792,Yes,S
528,0,3,male,39.0,0,0,7.925,No,S
529,0,2,male,23.0,2,1,11.5,No,S
530,1,2,female,2.0,1,1,26.0,No,S
531,0,3,male,22.8763068618881,0,0,7.2292,No,C
532,0,3,male,17.0,1,1,7.2292,No,C
533,1,3,female,8.013702976190478,0,2,22.3583,No,C
534,0,3,female,30.0,0,0,8.6625,No,S
535,1,2,female,7.0,0,2,26.25,No,S
536,0,1,male,45.0,0,0,26.55,Yes,S
537,1,1,female,30.0,0,0,106.425,No,C
538,0,3,male,24.330216964285718,0,0,14.5,No,S
539,1,1,female,22.0,0,2,49.5,Yes,C
540,1,1,female,36.0,0,2,71.0,Yes,S
